Year,P,A,E,C,p_f,a_f,e_f,c_f
2001,1271.85,2418.247621,0,0,0.0,0.0,0.0,0.0
2002,1280.4,2639.12143,0,0,0.0,0.0,0.0,0.0
2003,1288.4,2904.037244,0,0,0.0,0.0,0.0,0.0
2004,1296.075,3197.740575,80887,155972.0334,2268.22184241249,31570.62754747171,246009.13823945957,246009.13823945954
2005,1303.72,3562.110061,80511,192067.6717,1215.2084599631496,19220.29706342503,-26410.404755263895,36376.71896183657
2006,1311.02,4015.244503,78726,222818.5249,1299.785408388234,23965.30698043099,-38854.38132187191,34124.94846952808
2007,1317.885,4586.648364,94377,273950.0211,1568.8024742503537,34160.14952724122,13895.60417116386,7438.211845940551
2008,1324.655,5029.291071,103066,300644.0508,1601.2021661393378,25126.3844629379,-1279.6794002026709,1534.4372094716778
2009,1331.26,5501.98034,112323,357198.3217,1917.828291215799,30279.050605983066,-1486.096421768443,30771.103029408023
2010,1337.705,6087.163875,123178,400043.0236,2027.9074600250692,37013.367816571714,-3755.9089619029555,8688.665367532505
2011,1344.13,6668.538681,130896,437948.8816,2177.6460873522865,36307.72025000467,-14343.49979152181,13194.098535324367
2012,1350.695,7192.934987,144895,551796.2588,2982.7268550995445,40643.0420970788,15529.360121391408,70369.91841595357
2013,1357.38,7751.549115,153940,665793.5411,3567.772244540076,47376.80747326836,-10493.40457647097,81842.05564636757
2014,1364.27,8327.160832,163937,745474.6745,3964.353264683781,49089.2997954344,-6915.867794993775,37546.55022055281
2015,1371.22,8913.503612,180130,848909.5907,4571.703278684675,53532.475355795104,23040.709352746788,31189.540890088403
2016,1378.665,9523.968279,196738,985793.4636,5707.462136445597,60729.71176948793,22757.59986012032,61172.13831521664
2017,1386.395,10185.61748,210342,1106568.962,6505.519985814875,67830.96268635996,-354.8720280907687,54325.07302622994
2018,1392.73,10873.12362,225654,1288957.329,6292.335307476722,79364.80831795024,6830.308474096006,105339.2597741072
2019,1397.715,11520.04341,240128,1493948.082,5707.315944562813,82405.09847559154,6982.694110813157,126044.4126866898
